,id_municipio,populacao_urbana_2013,indice_sem_atend,indice_atend_solucao_ind,indice_atend_col_sem_trat,indice_atend_col_trat,sigla_uf,pop_sem_atend,pop_atend_solucao_ind,pop_atend_col_sem_trat,pop_atend_col_trat
111,1302603,1972131,49.3,22.1,0.0,28.6,AM,972261.0,435841.0,0.0,564029.0
112,1302702,22216,83.8,13.8,2.4,0.0,AM,18617.0,3066.0,533.0,0.0
113,1302801,9144,56.3,25.4,18.3,0.0,AM,5148.0,2323.0,1673.0,0.0
114,1302900,28516,45.7,49.9,4.4,0.0,AM,13032.0,14229.0,1255.0,0.0
115,1303007,7591,58.7,39.9,1.5,0.0,AM,4456.0,3029.0,114.0,0.0
116,1303106,15017,71.9,15.7,12.3,0.0,AM,10797.0,2358.0,1847.0,0.0
117,1303205,10787,76.5,21.7,1.8,0.0,AM,8252.0,2341.0,194.0,0.0
118,1303304,15409,80.5,4.7,14.9,0.0,AM,12404.0,724.0,2296.0,0.0
119,1303403,74816,72.3,24.9,2.8,0.0,AM,54092.0,18629.0,2095.0,0.0
120,1303502,9765,63.4,26.2,10.5,0.0,AM,6191.0,2558.0,1025.0,0.0
121,1303536,14820,40.3,9.7,35.0,15.0,AM,5972.0,1438.0,5187.0,2223.0
122,1303569,13762,87.7,10.0,2.4,0.0,AM,12069.0,1376.0,330.0,0.0
123,1303601,7929,83.1,13.6,3.3,0.0,AM,6589.0,1078.0,262.0,0.0
124,1303700,12866,93.7,2.8,3.5,0.0,AM,12055.0,360.0,450.0,0.0
125,1303809,20904,77.4,16.0,6.6,0.0,AM,16180.0,3345.0,1380.0,0.0
126,1303908,15870,89.8,4.7,5.5,0.0,AM,14251.0,746.0,873.0,0.0
127,1303957,6682,96.9,1.6,1.6,0.0,AM,6475.0,107.0,107.0,0.0
128,1304005,4269,89.7,9.1,1.2,0.0,AM,3829.0,388.0,51.0,0.0
129,1304062,40557,68.3,21.8,9.9,0.0,AM,27700.0,8841.0,4015.0,0.0
130,1304104,10232,69.6,1.4,29.1,0.0,AM,7121.0,143.0,2978.0,0.0
131,1304203,51236,62.9,18.5,18.6,0.0,AM,32227.0,9479.0,9530.0,0.0
132,1304237,9463,84.4,15.2,0.5,0.0,AM,7987.0,1438.0,47.0,0.0
133,1304260,7315,77.5,17.5,5.1,0.0,AM,5669.0,1280.0,373.0,0.0
134,1304302,10044,85.1,12.9,2.0,0.0,AM,8547.0,1296.0,201.0,0.0
135,1304401,11768,61.4,36.4,2.2,0.0,AM,7226.0,4284.0,259.0,0.0
136,1400027,1363,99.9,0.0,0.1,0.0,RR,1362.0,0.0,1.0,0.0
137,1400050,4774,67.7,12.6,19.8,0.0,RR,3232.0,602.0,945.0,0.0
138,1400100,301916,44.8,37.0,0.0,18.2,RR,135258.0,111709.0,0.0,54949.0
139,1400159,3908,25.0,73.1,2.0,0.0,RR,977.0,2857.0,78.0,0.0
140,1400175,2499,81.0,16.0,3.1,0.0,RR,2024.0,400.0,77.0,0.0
141,1400209,11680,12.1,17.2,70.8,0.0,RR,1413.0,2009.0,8269.0,0.0
142,1400233,3616,68.7,3.9,27.5,0.0,RR,2484.0,141.0,994.0,0.0
143,1400282,4578,12.8,35.1,52.2,0.0,RR,586.0,1607.0,2390.0,0.0
144,1400308,9598,94.3,0.5,5.3,0.0,RR,9051.0,48.0,509.0,0.0
145,1400407,2521,59.8,39.3,1.0,0.0,RR,1508.0,991.0,25.0,0.0
146,1400456,4942,56.3,38.2,5.6,0.0,RR,2782.0,1888.0,277.0,0.0
147,1400472,11573,93.7,5.0,1.3,0.0,RR,10844.0,579.0,150.0,0.0
148,1400506,5117,74.7,15.4,10.0,0.0,RR,3822.0,788.0,512.0,0.0
149,1400605,4759,61.4,37.3,1.3,0.0,RR,2922.0,1775.0,62.0,0.0
150,1400704,1240,98.8,1.1,0.1,0.0,RR,1225.0,14.0,1.0,0.0
151,1500107,86626,74.1,24.4,1.6,0.0,PA,64190.0,21137.0,1386.0,0.0
152,1500131,6241,90.1,8.9,1.1,0.0,PA,5623.0,555.0,69.0,0.0
153,1500206,12730,93.0,6.6,0.4,0.0,PA,11839.0,840.0,51.0,0.0
154,1500305,9899,89.3,9.7,1.0,0.0,PA,8840.0,960.0,99.0,0.0
155,1500347,5040,73.5,22.7,3.8,0.0,PA,3704.0,1144.0,192.0,0.0
156,1500404,28464,68.2,30.6,1.2,0.0,PA,19412.0,8710.0,342.0,0.0
157,1500503,19934,64.2,24.7,11.1,0.0,PA,12798.0,4924.0,2213.0,0.0
158,1500602,89211,79.3,18.2,2.5,0.0,PA,70744.0,16236.0,2230.0,0.0
159,1500701,10180,80.9,18.6,0.6,0.0,PA,8236.0,1893.0,61.0,0.0
160,1500800,492761,44.7,44.0,11.3,0.0,PA,220264.0,216815.0,55682.0,0.0
